Time,Depth,Voltage,Current,data_water,roll,pitch,yaw
14.36.50,6.0,16.02,3288.0,0.0,0.0,0.0,0.0
14.36.50,5.0,16.02,3288.0,0.0,0.0,0.0,0.0
14.36.50,5.0,16.23,3288.0,0.0,0.14,-0.64,-22.23
14.36.51,6.0,16.23,3288.0,0.0,0.14,-0.64,-22.23
14.36.51,5.0,16.23,3288.0,0.0,0.14,-0.64,-22.23
14.36.51,5.0,16.25,3288.0,0.0,0.14,-0.64,-22.23
14.36.51,6.0,16.25,3288.0,0.0,0.14,-0.64,-22.23
14.36.51,6.0,16.18,3288.0,0.0,0.14,-0.64,-22.23
14.36.52,6.0,16.18,3288.0,0.0,0.14,-0.64,-22.23
14.36.52,5.0,16.23,3288.0,0.0,0.14,-0.64,-22.23
14.36.52,5.0,16.23,3288.0,0.0,0.14,-0.64,-22.23
14.36.52,6.0,16.27,3288.0,0.0,0.14,-0.64,-22.23
14.36.52,5.0,16.27,3288.0,0.0,0.14,-0.64,-22.23
14.36.53,5.0,16.26,3288.0,0.0,0.14,-0.64,-22.23
14.36.53,6.0,16.26,3288.0,0.0,0.14,-0.64,-22.23
14.36.53,6.0,16.26,3288.0,0.0,0.14,-0.64,-22.23
14.36.53,6.0,16.19,3288.0,0.0,0.14,-0.64,-22.23
14.36.53,5.0,16.19,3288.0,0.0,0.14,-0.64,-22.23
14.36.54,6.0,16.15,3288.0,0.0,0.14,-0.64,-22.23
14.36.54,5.0,16.15,3288.0,0.0,0.14,-0.64,-22.23
14.36.54,4.0,16.24,3288.0,0.0,0.14,-0.64,-22.23
14.36.54,5.0,16.24,3288.0,0.0,0.14,-0.63,-22.23
14.36.54,5.0,16.27,3287.0,0.0,0.14,-0.63,-22.23
14.36.55,5.0,16.27,3287.0,0.0,0.15,-0.61,-22.23
14.36.55,5.0,16.27,3287.0,0.0,0.14,-0.59,-22.23
14.36.55,6.0,16.27,3287.0,0.0,0.13,-0.59,-22.23
14.36.55,5.0,16.27,3287.0,0.0,0.13,-0.6,-22.23
14.36.55,6.0,16.14,3288.0,0.0,0.11,-0.62,-22.23
14.36.56,5.0,16.14,3288.0,0.0,0.12,-0.58,-22.22
14.36.56,6.0,16.27,3288.0,0.0,0.11,-0.57,-22.18
14.36.56,6.0,16.27,3288.0,0.0,0.18,-0.51,-21.59
14.36.56,5.0,16.26,3288.0,0.0,0.13,-0.54,-21.61
14.36.56,5.0,16.26,3288.0,0.0,0.13,-0.54,-21.61
14.36.57,5.0,16.27,3289.0,0.0,0.14,-0.54,-21.61
14.36.57,5.0,16.27,3289.0,0.0,0.14,-0.54,-21.61
14.36.57,5.0,16.27,3289.0,0.0,0.14,-0.54,-21.61
14.36.57,5.0,16.21,3288.0,0.0,0.14,-0.54,-21.61
14.36.57,6.0,16.21,3288.0,0.0,0.14,-0.54,-21.61
14.36.58,6.0,16.13,3288.0,0.0,0.14,-0.54,-21.61
14.36.58,5.0,16.13,3288.0,0.0,0.14,-0.54,-21.61
14.36.58,6.0,16.24,3288.0,0.0,0.14,-0.54,-21.61
14.36.58,5.0,16.24,3288.0,0.0,0.14,-0.54,-21.61
14.36.58,6.0,16.25,3288.0,0.0,0.14,-0.54,-21.61
14.36.59,6.0,16.25,3288.0,0.0,0.14,-0.54,-21.61
14.36.59,5.0,16.27,3288.0,0.0,0.14,-0.54,-21.61
14.36.59,6.0,16.27,3288.0,0.0,0.14,-0.54,-21.61
14.36.59,5.0,16.27,3288.0,0.0,0.14,-0.54,-21.61
14.36.59,6.0,16.16,3287.0,0.0,0.14,-0.54,-21.61
14.37.0,5.0,16.16,3287.0,0.0,0.14,-0.54,-21.61
14.37.0,5.0,16.14,3288.0,0.0,0.14,-0.54,-21.61
14.37.0,5.0,16.14,3288.0,0.0,0.14,-0.54,-21.61
14.37.0,5.0,16.26,3288.0,0.0,0.14,-0.54,-21.61
14.37.0,6.0,16.26,3288.0,0.0,0.14,-0.54,-21.61
14.37.1,5.0,16.09,3288.0,0.0,0.14,-0.54,-21.61
14.37.1,6.0,16.09,3288.0,0.0,0.14,-0.54,-21.61
14.37.1,5.0,16.09,3288.0,0.0,0.14,-0.54,-21.61
14.37.1,5.0,16.26,3288.0,0.0,0.14,-0.54,-21.61
14.37.1,5.0,16.26,3288.0,0.0,0.14,-0.54,-21.61
14.37.2,5.0,16.13,3287.0,0.0,0.14,-0.54,-21.61
14.37.2,5.0,16.13,3287.0,0.0,0.14,-0.54,-21.61
14.37.2,5.0,15.99,3288.0,0.0,0.14,-0.54,-21.61
14.37.2,5.0,15.99,3288.0,0.0,0.14,-0.54,-21.61
14.37.2,5.0,16.25,3288.0,0.0,0.14,-0.54,-21.61
14.37.3,5.0,16.25,3288.0,0.0,0.14,-0.54,-21.61
14.37.3,5.0,16.27,3288.0,0.0,0.14,-0.54,-21.61
14.37.3,4.0,16.27,3288.0,0.0,0.14,-0.54,-21.61
14.37.3,5.0,16.27,3288.0,0.0,0.14,-0.54,-21.61
